CODE,DESCRIPTION,MAJOR_CATEGORY,MINOR_CATEGORY
PI50,These are non-covered services because this is not deemed a 'medical necessity' by the payer.,Medical Necessity/Review,Medical Necessity/Review
PI51,These are non-covered services. Payment included in allowance for another service,Bundled/Inclusive,Bundled/Inclusive
PI52,The referring/prescribing/rendering provider is not eligible to refer/prescribe/order/perform the service billed.,Network/Provider Contract,Network/Provider Credential
PI53,Services by an immediate relative or a member of the same household are not covered.,Coverage/Eligibility,Coverage/Eligibility
PI54,Multiple physicians/assistants are not covered in this case .,Coverage/Eligibility,Coverage/Eligibility
PI55,Claim/service denied because procedure/treatment is deemed experimental/investigational by the payer.,Medical Necessity/Review,Medical Necessity/Review
PI56,Claim/service denied because procedure/treatment has not been deemed 'proven to be effective' by the payer.,Medical Necessity/Review,Medical Necessity/Review
PI57,"Payment denied/reduced because the payer deems the information submitted does not support this level of service, this many services, this length of service, this dosage, or this day's supply.",Coverage/Eligibility,Coverage/Eligibility
PI58,Payment adjusted because treatment was deemed by the payer to have been rendered in an inappropriate or invalid place of service.,Provider Billing Error,Provider Billing Error/POS
PI5836,Payer-specific reduction code 5836 (description pending),Payer Specific,Other/Unspecified
PI59,Charges are adjusted based on multiple surgery rules or concurrent anesthesia rules.,Bundled/Inclusive,Bundled/Inclusive
PI6,The procedure/revenue code is inconsistent with the patient's age.,Provider Billing Error,Provider Billing Error/Coding
PI60,Charges for outpatient services with this proximity to inpatient services are not covered.,Bundled/Inclusive,Bundled/Inclusive
PI61,Charges adjusted as penalty for failure to obtain second surgical opinion.,Coverage/Eligibility,Coverage/Eligibility
PI62,"Payment denied/reduced for absence of, or exceeded, pre-certification/authorization.",Authorization/Precert,Authorization/Precert
PI63,Correction to a prior claim.,Correction,Other/Unspecified
PI64,Denial reversed per Medical Review.,Correction,Other/Unspecified
PI65,Procedure code was incorrect. This payment reflects the correct code.,Provider Billing Error,Provider Billing Error/Coding
PI66,Blood Deductible.,Patient Responsibility,Patient Responsibility/Deductible
PI67,"Lifetime reserve days. (Handled in QTY, QTY01=LA)",Provider Billing Error,Provider Billing Error/Coding
PI68,DRG weight. (Handled in CLP12),DRG/Outlier,DRG/Outlier
PI69,Day outlier amount.,DRG/Outlier,DRG/Outlier
PI7,The procedure/revenue code is inconsistent with the patient's gender.,Provider Billing Error,Provider Billing Error/Coding
PI70,Cost outlier - Adjustment to compensate for additional costs.,DRG/Outlier,DRG/Outlier
PI71,Primary Payer amount.,COB/Other Payer,COB/Other Payer
PI72,"Coinsurance day. (Handled in QTY, QTY01=CD)",Patient Responsibility,Patient Responsibility/Coinsurance
PI73,Administrative days.,DRG/Outlier,DRG/Outlier
PI74,Indirect Medical Education Adjustment.,DRG/Outlier,DRG/Outlier
PI75,Direct Medical Education Adjustment.,DRG/Outlier,DRG/Outlier
PI76,Disproportionate Share Adjustment.,DRG/Outlier,DRG/Outlier
PI77,"Covered days. (Handled in QTY, QTY01=CA)",DRG/Outlier,DRG/Outlier
PI78,Non-Covered days/room charge adjustment,Coverage/Eligibility,Coverage/Eligibility
PI79,Cost Report days. (Handled in MIA15),DRG/Outlier,DRG/Outlier
PI8,The procedure code is inconsistent with the provider type/specialty (taxonomy).,Provider Billing Error,Provider Billing Error/Coding
PI80,"Outlier days. (Handled in QTY, QTY01=OU)",DRG/Outlier,DRG/Outlier
PI81,Discharges.,DRG/Outlier,DRG/Outlier
PI82,PIP days.,DRG/Outlier,DRG/Outlier
PI83,Total visits.,DRG/Outlier,DRG/Outlier
PI84,Capital Adjustment. (Handled in MIA),DRG/Outlier,DRG/Outlier
PI85,Interest amount.,Contractual/Payment,Contractual/Payment/Other
PI86,Statutory Adjustment.,Contractual/Payment,Contractual/Payment/Other
PI87,Transfer amount.,Contractual/Payment,Contractual/Payment/Other
PI88,Adjustment amount represents collection against receivable created in prior overpayment.,Refund/Recovery,Refund/Recovery
PI89,Professional fees removed from charges.,COB/Other Payer,COB/Other Payer
PI9,The diagnosis is inconsistent with the patient's age,Provider Billing Error,Provider Billing Error/Diagnosis
PI90,Ingredient cost adjustment.,Other Insurance,Coverage/Workers Comp
PI91,Dispensing fee adjustment.,Medical Necessity/Review,Medical Necessity/Review
PI92,Claim Paid in full.,Other Insurance,Coverage/Workers Comp
PI93,No Supplementary Medical Insurance (SMI) for this patient,Coverage/Eligibility,Coverage/Eligibility
PI94,Processed in accordance with Demonstration Project,Program/Demo Adjustment,Program/Demo
PI95,Benefits adjusted. Plan procedures not followed.,Provider Billing Error,Provider Billing Error/Other
PI96,Non-covered charge(s),Coverage/Eligibility,Coverage/Eligibility
PI97,Payment is included in another service/procedure,Bundled/Inclusive,Bundled/Inclusive
PI98,The hospital must file the Medicare claim for this inpatient non-physician service.,Benefit Limits,Benefit Limits
PI99,Medicare Secondary Payer Adjustment Amount.,COB/Other Payer,COB/Other Payer
PIA0,Patient refund amount.,Refund/Recovery,Refund/Recovery
PIA1,Claim/Service denied. At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code).,Patient Responsibility,Patient Responsibility/Deductible
PIA2,Contractual adjustment.,Patient Responsibility,Patient Responsibility/Coinsurance
PIA3,Medicare Secondary Payer liability met.,COB/Other Payer,COB/Other Payer
PIA4,Medicare Claim PPS Capital Day Outlier Amount.,Provider Billing Error,Provider Billing Error/Modifier
PIA5,Medicare Claim PPS Capital Cost Outlier Amount.,Provider Billing Error,Provider Billing Error/POS
PIA6,Prior hospitalization or 30 day transfer requirement not met.,Provider Billing Error,Provider Billing Error/Coding
PIA7,The procedure/revenue code is inconsistent with the patient's gender,Provider Billing Error,Provider Billing Error/Coding
PIA8,Claim denied; ungroupable DRG,Provider Billing Error,Provider Billing Error/Coding
PIB1,Non-covered visits.,Patient Responsibility,Patient Responsibility/Deductible
PIB10,The diagnosis is inconsistent with the patient's gender,Provider Billing Error,Provider Billing Error/Diagnosis
PIB11,The diagnosis is inconsistent with the procedure,Provider Billing Error,Provider Billing Error/Diagnosis
PIB12,The diagnosis is inconsistent with the provider type,Provider Billing Error,Provider Billing Error/Diagnosis
PIB13,The date of death precedes the date of service,Provider Billing Error,Provider Billing Error/Other
PIB14,Payment denied because only one visit or consultation per physician per day is covered.,Provider Billing Error,Provider Billing Error/Other
PIB15,Payment adjusted because this service/procedure requires that a qualifying service/procedure be received and covered. The qualifying other service/procedure has not been received/adjudicated.,Authorization/Precert,Authorization/Precert
PIB16,Payment adjusted because 'New Patient' qualifications were not met.,Provider Billing Error,Provider Billing Error/Other
PIB17,"Payment adjusted because this service was not prescribed by a physician, not prescribed prior to delivery, the prescription is incomplete, or the prescription is not current.",Documentation/Attachments,Documentation/Attachments
PIB18,Payment adjusted because this procedure code and modifier were invalid on the date of service,Provider Billing Error,Provider Billing Error/Modifier
PIB19,Claim/service adjusted because of the finding of a Review Organization.,Other Insurance,Coverage/Workers Comp
PIB2,Covered visits.,Patient Responsibility,Patient Responsibility/Coinsurance
PIB20,Payment adjusted because procedure/service was partially or fully furnished by another provider.,Other Insurance,COB/No Fault
PIB21,The charges were reduced because the service/care was partially furnished by another physician.,Other Insurance,COB/No Fault
PIB22,This payment is adjusted based on the diagnosis.,Provider Billing Error,Provider Billing Error/Diagnosis
PIB23,Payment denied because this provider has failed an aspect of a proficiency testing program.,COB/Other Payer,COB/Other Payer
PIB3,Covered charges.,Patient Responsibility,Patient Responsibility/Copay
PIB4,The procedure code is inconsistent with the modifier used,Provider Billing Error,Provider Billing Error/Modifier
PIB5,Payment adjusted because coverage/program guidelines were not met or were exceeded.,Coverage/Eligibility,Coverage/Eligibility
PIB6,"This payment is adjusted when performed/billed by this type of provider, by this type of provider in this type of facility, or by a provider of this specialty.",Provider Billing Error,Provider Billing Error/Coding
PIB7,This provider was not certified/eligible to be paid for this procedure/service on this date of service.,Provider Billing Error,Provider Billing Error/Coding
PIB8,"Claim/service not covered/reduced because alternative services were available, and should have been utilized.",Provider Billing Error,Provider Billing Error/Coding
PIB9,The diagnosis is inconsistent with the patient's age,Provider Billing Error,Provider Billing Error/Diagnosis
PID1,Claim/service denied. Level of subluxation is missing or inadequate.,Coverage/Eligibility,Coverage/Eligibility
PID10,Claim/service denied. Completed physician financial relationship form not on file.,Documentation/Attachments,Documentation/Attachments
PID11,Claim lacks completed pacemaker registration form.,Documentation/Attachments,Documentation/Attachments
PID12,Claim/service denied. Claim does not identify who performed the purchased diagnostic test or the amount you were charged for the test.,Documentation/Attachments,Documentation/Attachments
PID13,Claim/service denied. Performed by a facility/supplier in which the ordering/referring physician has a financial interest.,Conflict of Interest,Other/Unspecified
PID14,Claim lacks indication that plan of treatment is on file.,Documentation/Attachments,Documentation/Attachments
PID15,Claim lacks indication that service was supervised or evaluated by a physician.,Documentation/Attachments,Documentation/Attachments
PID16,Claim lacks prior payer payment information.,Documentation/Attachments,Documentation/Attachments
PID17,Claim/Service has invalid non-covered days.,Provider Billing Error,Provider Billing Error/Other
PID18,Claim/Service has missing diagnosis information.,Provider Billing Error,Provider Billing Error/Diagnosis
PID19,Claim/Service lacks Physician/Operative or other supporting documentation,Documentation/Attachments,Documentation/Attachments
PID2,"Claim lacks the name, strength, or dosage of the drug furnished.",Coverage/Eligibility,Coverage/Eligibility
PID20,Claim/Service missing service/product information.,Documentation/Attachments,Documentation/Attachments
PID21,This (these) diagnosis(es) is (are) missing or are invalid,Provider Billing Error,Provider Billing Error/Diagnosis
PID3,Claim/service denied because information to indicate if the patient owns the equipment that requires the part or supply was missing.,Coverage/Eligibility,Coverage/Eligibility
PID4,Claim/service does not indicate the period of time for which this will be needed.,Documentation/Attachments,Documentation/Attachments
PID5,Claim/service denied. Claim lacks individual lab codes included in the test.,Documentation/Attachments,Documentation/Attachments
PID6,Claim/service denied. Claim did not include patient's medical record for the service.,Documentation/Attachments,Documentation/Attachments
PID7,Claim/service denied. Claim lacks date of patient's most recent physician visit.,Documentation/Attachments,Documentation/Attachments
PID8,Claim/service denied. Claim lacks indicator that 'x-ray is available for review.',Documentation/Attachments,Documentation/Attachments
PID9,"Claim/service denied. Claim lacks invoice or statement certifying the actual cost of the lens, less discounts or the type of intraocular lens used.",Documentation/Attachments,Documentation/Attachments
PIW1,Workers Compensation State Fee Schedule Adjustment,Other Insurance,Coverage/Workers Comp
PN,Duplicate claim/service.,Provider Billing Error,Provider Billing Error/Duplicate
PR-177,Payment denied because the patient has not met the required eligibility requirements,Coverage/Eligibility,Coverage/Eligibility
PR1,Deductible Amount,Patient Responsibility,Patient Responsibility/Deductible
PR10,The diagnosis is inconsistent with the patient's gender.,Provider Billing Error,Provider Billing Error/Diagnosis
PR100,Payment made to patient/insured/responsible party,Contractual/Payment,Contractual/Payment/Other
PR101,Predetermination: anticipated payment upon completion of services or claim adjudication.,Predetermination,Other/Unspecified
PR102,Major Medical Adjustment,Major Medical,Other/Unspecified
PR103,"Provider promotional discount (e.g., Senior citizen discount).",Contractual/Payment,Contractual/Payment/Other
PR104,Managed care withholding.,Contractual/Payment,Contractual/UCR
PR105,Tax withholding.,Contractual/Payment,Contractual/Payment/Other
PR106,Patient payment option/election not in effect.,Coverage/Eligibility,Coverage/Eligibility
PR107,Claim/service adjusted because the related or qualifying claim/service was not identified on this claim.,Authorization/Precert,Authorization/Precert
PR108,Rent/purchase guidelines were not met,Coverage/Eligibility,Coverage/Eligibility
PR109,Claim not covered by this payer/contractor. You must send the claim to the correct payer/contractor.,Coverage/Eligibility,Coverage/Eligibility
PR11,The diagnosis is inconsistent with the procedure,Provider Billing Error,Provider Billing Error/Diagnosis
PR110,Billing date predates service date,Provider Billing Error,Provider Billing Error/Other
PR111,Not covered unless the provider accepts assignment.,Coverage/Eligibility,Coverage/Eligibility
PR112,Payment adjusted as not furnished directly to the patient and/or not documented.,Coverage/Eligibility,Coverage/Eligibility
PR113,Payment denied because service/procedure was provided outside the United States or as a result of war.,Coverage/Eligibility,Coverage/Eligibility
PR114,Procedure/product not approved by the Food and Drug Administration.,Coverage/Eligibility,Coverage/Eligibility
PR115,Payment adjusted as procedure postponed or canceled.,Medical Necessity/Review,Medical Necessity/Review
PR116,Payment denied. The advance indemnification notice signed by the patient did not comply with requirements.,Coverage/Eligibility,Coverage/Eligibility
PR117,Transportation is only covered to the nearest appropriate facility that can provide the required level of care,Coverage/Eligibility,Coverage/Transport
PR118,Charges reduced for ESRD network support.,Coverage/Eligibility,Coverage/Transport
PR119,Benefit maximum for this time period or occurrence has been reached.,Benefit Limits,Benefit Limits
PR12,The diagnosis is inconsistent with the provider type.,Provider Billing Error,Provider Billing Error/Diagnosis
PR120,Patient is covered by a managed care plan.,Contractual/Payment,Contractual/UCR
PR121,Indemnification adjustment.,Contractual/Payment,Contractual/Payment/Other
PR122,Psychiatric reduction.,Contractual/Payment,Contractual/Payment/Other
PR123,Payer refund due to overpayment.,Refund/Recovery,Refund/Recovery
PR124,Payer refund amount - not our patient.,Refund/Recovery,Refund/Recovery
PR125,Payment adjusted due to a submission/billing error(s). Additional information is supplied using the remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided.,Provider Billing Error,Provider Billing Error/Other
PR126,Patient is enrolled in a hospice,Coverage/Eligibility,Coverage/Hospice
PR127,Coinsurance -- Major Medical,Patient Responsibility,Patient Responsibility/Coinsurance
PR128,Newborn's services are covered in the mother's Allowance.,Coverage/Eligibility,Coverage/Eligibility
PR129,Payment denied - Prior processing information appears incorrect.,COB/Other Payer,COB/Other Payer
PR13,The date of death precedes the date of service.,Provider Billing Error,Provider Billing Error/Other
PR130,Claim submission fee.,Contractual/Payment,Contractual/Payment/Other
PR131,Claim specific negotiated discount.,Program/Demo Adjustment,Program/Demo
PR132,Prearranged demonstration project adjustment.,Program/Demo Adjustment,Program/Demo
PR133,The disposition of this claim/service is pending further review.,Pending/Processing,Pending/Review
PR134,Technical fees removed from charges.,Bundled/Inclusive,Bundled/Inclusive
PR135,Claim denied. Interim bills cannot be processed.,Provider Billing Error,Provider Billing Error/Other
PR136,Claim adjusted based on failure to follow prior payer's coverage rules. (Use Group Code OA).,Coverage/Eligibility,Coverage/Eligibility
PR137,"Payment/Reduction for Regulatory Surcharges, Assessments, Allowances or Health Related Taxes.",Contractual/Payment,Contractual/Payment/Other
PR138,Claim/service denied. Appeal procedures not followed or time limits not met.,Appeals/Timely Filing,Appeals/Timely Filing
PR139,Contracted funding agreement - Subscriber is employed by the provider of services.,Contractual/Payment,Contractual/Payment/Other
PR14,The date of birth follows the date of service.,Provider Billing Error,Provider Billing Error/Other
PR140,Patient/Insured health identification number and name do not match.,Provider Billing Error,Provider Billing Error/Other
PR141,Claim adjustment because the claim spans eligible and ineligible periods of coverage.,Coverage/Eligibility,Coverage/Eligibility
PR142,Adjustment to maintain relationship with the usual customary fee,Contractual/Payment,Contractual/Payment/Other
PR143,Portion of payment deferred.,Contractual/Payment,Contractual/Payment/Other
PR144,"Incentive adjustment, e.g. preferred product/service.",Contractual/Payment,Contractual/Payment/Other
PR145,Premium payment withholding,Contractual/Payment,Contractual/Payment/Other
PR146,Payment denied because the diagnosis was invalid for the date(s) of service reported.,Provider Billing Error,Provider Billing Error/Diagnosis
PR147,Provider contracted/negotiated rate expired or not on file.,Appeals/Timely Filing,Appeals/Timely Filing
PR148,Claim/service rejected at this time because information from another provider was not provided or was insufficient/incomplete.,Documentation/Attachments,Documentation/Attachments
PR149,Lifetime benefit maximum has been reached for this service/benefit category.,Benefit Limits,Benefit Limits
PR15,"Payment adjusted because the submitted authorization number is missing, invalid, or does not apply to the billed services or provider.",Authorization/Precert,Authorization/Precert
PR150,Payment adjusted because the payer deems the information submitted does not support this level of service.,Medical Necessity/Review,Medical Necessity/Review
PR151,Payer deems the information does not support this length of service,Medical Necessity/Review,Medical Necessity/Review
PR152,Payment adjusted because the payer deems the information submitted does not support this length of service.,Medical Necessity/Review,Medical Necessity/Review
PR153,Payment adjusted because the payer deems the information submitted does not support this dosage.,Medical Necessity/Review,Medical Necessity/Review
PR154,Payment adjusted because the payer deems the information submitted does not support this day's supply.,Documentation/Attachments,Documentation/Attachments
PR155,This claim is denied because the patient refused the service/procedure.,Medical Necessity/Review,Medical Necessity/Review
PR156,Flexible spending account payments,Pending/Processing,Pending/Review
PR157,Payment denied/reduced because service/procedure was provided as a result of an act of war.,Coverage/Eligibility,Coverage/Eligibility
PR158,Payment denied/reduced because the service/procedure was provided outside of the United States.,Coverage/Eligibility,Coverage/Eligibility
PR159,Payment denied/reduced because the service/procedure was provided as a result of terrorism.,Coverage/Eligibility,Coverage/Eligibility
PR16,Claim/service lacks information which is needed for adjudication. Additional information is supplied using remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided.,Provider Billing Error,Provider Billing Error/Other
PR160,Payment denied/reduced because injury/illness was the result of an activity that is a benefit exclusion.,Coverage/Eligibility,Coverage/Eligibility
PR161,Provider performance bonus,Contractual/Payment,Contractual/Payment/Other
PR162,"State-mandated Requirement for Property and Casualty, see Claim Payment Remarks Code for specific explanation.",Regulatory/Sequestration,Regulatory/Sequestration
PR163,Claim/Service adjusted because the attachment referenced on the claim was not received.,Documentation/Attachments,Documentation/Attachments
PR164,Claim/Service adjusted because the attachment referenced on the claim was not received in a timely fashion.,Documentation/Attachments,Documentation/Attachments
PR165,"Payment denied /reduced for absence of, or exceeded referral",Documentation/Attachments,Documentation/Attachments
PR166,These services were submitted after this payers responsibility for processing claims under this plan ended.,Documentation/Attachments,Documentation/Attachments
PR167,This diagnosis is not covered,Provider Billing Error,Provider Billing Error/Diagnosis
PR168,Blood deductible,Patient Responsibility,Patient Responsibility/Deductible
PR169,Payment adjusted because an alternate benefit has been provided,Contractual/Payment,Contractual/Payment/Other
PR17,Requested information was not provided or was insufficient/incomplete,Documentation/Attachments,Documentation/Attachments
PR170,Payment denied when performed/billed by this type of provider,Coverage/Eligibility,Coverage/Eligibility
PR171,Payment is denied when performed/billed by this type of provider in this type of facility.,Network/Provider Contract,Network/Provider Credential
PR172,Payment is adjusted when performed/billed by a provider of this specialty,Provider Billing Error,Provider Billing Error/Other
PR173,Payment adjusted because this service was not prescribed by a physician,Coverage/Eligibility,Coverage/Eligibility
PR174,Payment denied because this service was not prescribed prior to delivery,Coverage/Eligibility,Coverage/Eligibility
PR175,Payment denied because the prescription is incomplete,Coverage/Eligibility,Coverage/Eligibility
PR176,Payment denied because the prescription is not current,Coverage/Eligibility,Coverage/Eligibility
PR177,Patient has not met the required eligibility requirements,Coverage/Eligibility,Coverage/Eligibility
PR178,Payment adjusted because the patient has not met the required spend down requirements.,Documentation/Attachments,Documentation/Attachments
PR179,Payment adjusted because the patient has not met the required waiting requirements,Medical Necessity/Review,Medical Necessity/Review
PR18,Duplicate claim/service.,Provider Billing Error,Provider Billing Error/Duplicate
PR180,Payment adjusted because the patient has not met the required residency requirements,Contractual/Payment,Contractual/UCR
PR181,Payment adjusted because this procedure code was invalid on the date of service,Provider Billing Error,Provider Billing Error/Coding
PR182,Payment adjusted because the procedure modifier was invalid on the date of service,Provider Billing Error,Provider Billing Error/Modifier
PR183,The referring provider is not eligible to refer the service billed.,Network/Provider Contract,Network/Provider Credential
PR184,The prescribing/ordering provider is not eligible to prescribe/order the service billed.,Network/Provider Contract,Network/Provider Credential
PR185,The rendering provider is not eligible to perform service billed,Network/Provider Contract,Network/Provider Credential
PR186,Payment adjusted since the level of care changed,Contractual/Payment,Contractual/Payment/Other
PR187,Consumer Spending Account payments,Pending/Processing,Pending/Review
PR188,This product/procedure is only covered when used according to FDA recommendations.,Coverage/Eligibility,Coverage/Eligibility
PR189,'Not otherwise classified' or 'unlisted' procedure code (CPT/HCPCS) was billed when there is a specific procedure code for this procedure/service,Provider Billing Error,Provider Billing Error/Coding
PR19,Claim denied because this is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier.,Other Insurance,COB/No Fault
PR190,Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay.,Documentation/Attachments,Documentation/Attachments
PR191,Not a work related injury/illness,Other Insurance,Coverage/Workers Comp
PR192,Non-standard adjustment code from paper remittance,Contractual/Payment,Contractual/Payment/Other
PR193,Original payment decision is being maintained,Appeals/Timely Filing,Appeals/Timely Filing
PR194,"Payment adjusted when anesthesia is performed by the operating physician, the assistant surgeon or the attending physician",Bundled/Inclusive,Bundled/Inclusive
PR195,Payment denied/reduced due to a refund issued to an erroneous priority payer for this claim/service,Refund/Recovery,Refund/Recovery
PR196,Precertification/notification/authorization not within time limit,Authorization/Precert,Authorization/Precert
PR197,Precertification/authorization/notification absent,Authorization/Precert,Authorization/Precert
PR198,Precertification/authorization exceeded,Authorization/Precert,Authorization/Precert
PR199,Revenue code and Procedure code do not match.,Provider Billing Error,Provider Billing Error/Coding
PR2,Coinsurance Amount,Patient Responsibility,Patient Responsibility/Coinsurance
PR20,Claim denied because this injury/illness is covered by the liability carrier.,Other Insurance,COB/No Fault
PR200,Expenses incurred during lapse in coverage,Coverage/Eligibility,Coverage/Eligibility
PR201,Worker's Compensation case settled,Other Insurance,Coverage/Workers Comp
PR204,This service/equipment/drug is not covered,Coverage/Eligibility,Coverage/Eligibility
PR21,Claim denied because this injury/illness is the liability of the no-fault carrier.,Other Insurance,COB/No Fault
PR22,This care may be covered by another payer,Other Insurance,Other Insurance/Other
PR223,Adjustment code for mandated federal/state/regulatory fee (patient liability),Contractual/Payment,Contractual/UCR
PR226,Information requested from billing/treating provider not provided,Documentation/Attachments,Documentation/Attachments
PR227,Information requested from patient/insured/responsible party not provided,Documentation/Attachments,Documentation/Attachments
PR23,The impact of prior payer(s) adjudication,COB/Other Payer,COB/Other Payer
PR234,This procedure is not paid separately,Bundled/Inclusive,Bundled/Inclusive
PR24,Payment for charges adjusted. Charges are covered under a capitation agreement/managed care plan.,Contractual/Payment,Contractual/UCR
PR242,Services not provided by network/primary care provider,Network/Provider Contract,Network/Provider Contract
PR243,Services not authorized by network/primary care provider,Network/Provider Contract,Network/Provider Contract
PR25,Payment denied. Your Stop loss deductible has not been met.,Patient Responsibility,Patient Responsibility/Deductible
PR252,An attachment/other documentation is required,Documentation/Attachments,Documentation/Attachments
PR26,Expenses incurred prior to coverage,Coverage/Eligibility,Coverage/Eligibility
PR27,Expenses incurred after coverage terminated.,Coverage/Eligibility,Coverage/Eligibility
PR276,Services denied by prior payer(s) not included in this payment,COB/Other Payer,COB/Other Payer
PR28,Coverage not in effect at the time the service was provided.,Coverage/Eligibility,Coverage/Eligibility
PR29,The time limit for filing has expired,Appeals/Timely Filing,Appeals/Timely Filing
PR3,Co-payment Amount,Patient Responsibility,Patient Responsibility/Copay
PR30,"Payment adjusted because the patient has not met the required eligibility, spend down, waiting, or residency requirements.",Contractual/Payment,Contractual/Payment/Other
PR31,Claim denied as patient cannot be identified as our insured.,Coverage/Eligibility,Coverage/Eligibility
PR32,Our records indicate patient was not an eligible dependent,Documentation/Attachments,Documentation/Attachments
PR33,Insured has no dependent coverage,Coverage/Eligibility,Coverage/Eligibility
PR34,Claim denied. Insured has no coverage for newborns.,Coverage/Eligibility,Coverage/Eligibility
PR35,Lifetime benefit maximum has been reached,Benefit Limits,Benefit Limits
PR36,Balance does not exceed co-payment amount.,Patient Responsibility,Patient Responsibility/Copay
PR37,Balance does not exceed deductible.,Patient Responsibility,Patient Responsibility/Deductible
PR38,Services not provided or not provided as frequently as billed,Provider Billing Error,Provider Billing Error/Other
PR39,Services denied at the time authorization/pre-certification was requested,Authorization/Precert,Authorization/Precert
PR4,The procedure code is inconsistent with the modifier used,Provider Billing Error,Provider Billing Error/Modifier
PR40,Charges do not meet qualifications for emergent/urgent care.,Coverage/Eligibility,Coverage/Eligibility
PR41,Discount agreed to in Preferred Provider contract.,Provider Billing Error,Provider Billing Error/Coding
PR42,Charges exceed our fee schedule or maximum allowable amount.,Contractual/Payment,Contractual/UCR
PR43,Gramm-Rudman reduction.,Provider Billing Error,Provider Billing Error/Coding
PR44,Prompt-pay discount.,Contractual/Payment,Contractual/Payment/Other
PR45,Charges exceed your contracted/ legislated fee arrangement. This change to be effective 6/1/07: Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement. (Use Group Codes PR or CO depending upon liability).,Contractual/Payment,Contractual/UCR
PR46,This (these) service(s) is (are) not covered.,Authorization/Precert,Authorization/Precert
PR47,"This (these) diagnosis(es) is (are) not covered, missing, or are invalid.",Provider Billing Error,Provider Billing Error/Diagnosis
PR48,This (these) procedure(s) is (are) not covered.,Other Insurance,Coverage/Workers Comp
PR49,This is a non-covered service,Coverage/Eligibility,Coverage/Eligibility
PR5,The procedure code/bill type is inconsistent with the place of service,Provider Billing Error,Provider Billing Error/POS
PR50,These are non-covered services,Coverage/Eligibility,Coverage/Eligibility
PR51,These are non-covered services. Payment included in allowance for another service,Bundled/Inclusive,Bundled/Inclusive
PR52,The referring/prescribing/rendering provider is not eligible to refer/prescribe/order/perform the service billed.,Network/Provider Contract,Network/Provider Credential
PR53,Services by an immediate relative or a member of the same household are not covered.,Coverage/Eligibility,Coverage/Eligibility
PR54,Multiple physicians/assistants are not covered in this case .,Coverage/Eligibility,Coverage/Eligibility
PR55,Procedure/treatment is deemed experimental/investigational,Medical Necessity/Review,Medical Necessity/Review
PR56,Claim/service denied because procedure/treatment has not been deemed 'proven to be effective' by the payer.,Medical Necessity/Review,Medical Necessity/Review
PR57,"Payment denied/reduced because the payer deems the information submitted does not support this level of service, this many services, this length of service, this dosage, or this day's supply.",Coverage/Eligibility,Coverage/Eligibility
PR58,Treatment was deemed by the payer to have been rendered in an inappropriate setting,Coverage/Eligibility,Coverage/Eligibility
PR59,Processed based on multiple or concurrent procedure rules,Bundled/Inclusive,Bundled/Inclusive
PR6,The procedure/revenue code is inconsistent with the patient's age,Provider Billing Error,Provider Billing Error/Coding
PR60,Charges for outpatient services with this proximity to inpatient services are not covered.,Bundled/Inclusive,Bundled/Inclusive
PR61,Charges adjusted as penalty for failure to obtain second surgical opinion.,Coverage/Eligibility,Coverage/Eligibility
PR62,"Payment denied/reduced for absence of, or exceeded, pre-certification/authorization.",Authorization/Precert,Authorization/Precert
PR63,Correction to a prior claim.,Correction,Other/Unspecified
PR64,Denial reversed per Medical Review.,Correction,Other/Unspecified
PR65,Procedure code was incorrect. This payment reflects the correct code.,Provider Billing Error,Provider Billing Error/Coding
PR66,Blood Deductible.,Patient Responsibility,Patient Responsibility/Deductible
PR67,"Lifetime reserve days. (Handled in QTY, QTY01=LA)",Provider Billing Error,Provider Billing Error/Coding
PR68,DRG weight. (Handled in CLP12),DRG/Outlier,DRG/Outlier
PR69,Day outlier amount.,DRG/Outlier,DRG/Outlier
PR7,The procedure/revenue code is inconsistent with the patient's gender.,Provider Billing Error,Provider Billing Error/Coding
PR70,Cost outlier - Adjustment to compensate for additional costs.,DRG/Outlier,DRG/Outlier
PR71,Primary Payer amount.,COB/Other Payer,COB/Other Payer
PR72,"Coinsurance day. (Handled in QTY, QTY01=CD)",Patient Responsibility,Patient Responsibility/Coinsurance
PR73,Administrative days.,DRG/Outlier,DRG/Outlier
PR74,Indirect Medical Education Adjustment.,DRG/Outlier,DRG/Outlier
PR75,Direct Medical Education Adjustment.,DRG/Outlier,DRG/Outlier
PR76,Disproportionate Share Adjustment.,DRG/Outlier,DRG/Outlier
PR77,"Covered days. (Handled in QTY, QTY01=CA)",DRG/Outlier,DRG/Outlier
PR78,Non-Covered days/Room charge adjustment.,Coverage/Eligibility,Coverage/Eligibility
PR79,Cost Report days. (Handled in MIA15),DRG/Outlier,DRG/Outlier
PR8,The procedure code is inconsistent with the provider type/specialty (taxonomy).,Provider Billing Error,Provider Billing Error/Coding
PR80,"Outlier days. (Handled in QTY, QTY01=OU)",DRG/Outlier,DRG/Outlier
